Orig_empl,Employer,Interest2
Sierra Soil & Water Conservation Dost,Sierra Soil & Water Conservation Dost,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Siete Del Norte CDC-CPLC Affiliate,Siete Del Norte CDC-CPLC Affiliate,ECONOMIC & SUSTAINABLE DEVELOPMENT
Silver City Regional Association of Realtors,Silver City Regional Association of Realtors,REAL ESTATE & CONSTRUCTION
Simple Contacts,Simple Contacts,RETAIL & CONSUMER RIGHTS
"Ski New Mexico, Inc.","Ski New Mexico, Inc.",TOURISM
"Small Host Family Provider Association, Inc. ","Small Host Family Provider Association, Inc. ",EDUCATION
SMART TD Local 034,SMART TD Local 034,TRANSPORTATION
SmileDirectClub,SmileDirectClub,RETAIL & CONSUMER RIGHTS
"Smith Bagley, Inc. dba Cellular One of North East ","Smith Bagley, Inc. dba Cellular One of North East ",TELECOM
Soaring Eagle Lodge LLC,Soaring Eagle Lodge LLC,TOURISM
Society of Diagnostic Medical Sonography,Society of Diagnostic Medical Sonography,HEALTHCARE
Solar City Corporation,Solar City Corporation,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Solare Collegiate Charter School,Solare Collegiate Charter School,EDUCATION
Solaris Water Midstream,Solaris Water Midstream,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Solus Alternative,Solus Alternative,BANKING & FINANCE
Somos Un Pueblo Unido,Somos Un Pueblo Unido,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
"Sonntag Enterprise, Inc.","Sonntag Enterprise, Inc.","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
South Central Colfax County Hospital District,South Central Colfax County Hospital District,HEALTHCARE
South Valley Academy,South Valley Academy,EDUCATION
South Valley Economic Development Center,South Valley Economic Development Center,ECONOMIC & SUSTAINABLE DEVELOPMENT
South Valley Preparatory Charter School,South Valley Preparatory Charter School,EDUCATION
Southern Rio Grande Diversified Crop Farmes Assoc.,Southern Rio Grande Diversified Crop Farmes Assoc.,RANCHING & AGRICULTURE
Southern Sandoval County Arroyo Flood Contral Auth,Southern Sandoval County Arroyo Flood Contral Authority,WATER RESOURCES
Southern Wine & Spirits of New Mexico,Southern Wine & Spirits of New Mexico,"ALCOHOL, CANNABIS, & TOBACCO"
"Southwest Aeronautics, Mathematics & Science Academy ","Southwest Aeronautics, Mathematics & Science Academy ",EDUCATION
Southwest Airlines,Southwest Airlines,TRANSPORTATION
Southwest Alliance of Neighbors ,Southwest Alliance of Neighbors ,REAL ESTATE & CONSTRUCTION
Southwest Cable Communication Association,Southwest Cable Communication Association,TELECOM
Southwest Care Center ,Southwest Care Center ,HEALTHCARE
Southwest Energy Efficiency Project ,Southwest Energy Efficiency Project ,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Southwest Generation Operating Company,Southwest Generation Operating Company,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Southwest Home Healthcare,Southwest Home HEALTHCARE,HEALTHCARE
Southwest Intermediate Learning Center,Southwest Intermediate Learning Center,EDUCATION
Southwest Learning Center,Southwest Learning Center,EDUCATION
Southwest Organizing Project,Southwest Organizing Project,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Southwest Pipe Trades Association/ UA local 412,Southwest Pipe Trades Association/ UA local 412,LABOR & WORKFORCE
Southwest Primary Learning Center,Southwest Primary Learning Center,EDUCATION
Southwest Regional Council of Carpenters,Southwest Regional Council of Carpenters,REAL ESTATE & CONSTRUCTION
Southwest Secondary Learning Center ,Southwest Secondary Learning Center ,EDUCATION
"Southwest Transmission, LLC","Southwest Transmission, LLC",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Southwest Womens Law Center,Southwest Women's Law Center,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Southwest Women's Law Center,Southwest Women's Law Center,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Southwestern Assoc. for Indian Arts - SWAIA,Southwestern Assoc. for Indian Arts - SWAIA,ARTS & CULTURE
"Southwestern Power Group II, LLC",Southwestern Power Group/SUNZIA,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Southwestern Power Group/SUNZIA,Southwestern Power Group/SUNZIA,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Southwestern Public Service Company/ XCEL Energy,Southwestern Public Service Company/ XCEL Energy,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Special Olympics N.M.,Special Olympics N.M.,SPORTS
"SpinLaunch, Inc.","SpinLaunch, Inc.",INDUSTRY
Springer Electric Cooperative Inc.,Springer Electric Cooperative Inc.,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Springleaf General Services ,Springleaf General Services ,BANKING & FINANCE
Sprint Nextell,Sprint Nextell,TELECOM
State Farm Insurance Companies,State Farm Insurance Companies,INSURANCE
State Farm Mutual Auto Insurance Co.,State Farm Mutual Auto Insurance Co.,INSURANCE
State of New Mexico-EMNRD-Forestry Division,State of New Mexico-EMNRD-Forestry Division,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
State Psychologist Accociation of NM,State Psychologist Accociation of NM,HEALTHCARE
"State Tax Service, LLC","State Tax Service, LLC",BANKING & FINANCE
STE Consultants,STE Consultants,HEALTHCARE
"Steve Chavez, SC3 Corporation","Steve Chavez, SC3 Corporation",REAL ESTATE & CONSTRUCTION
Stewart Title Guarantee Co.,Stewart Title Guarantee Co.,REAL ESTATE & CONSTRUCTION
Stop Predatory Gambling,Stop Predatory Gambling,CASINO & GAMING
Strathmore Minerals Corp.,Strathmore Minerals Corp.,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Strong Families New Mexico,Strong Families New Mexico,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
"Sundance Services, Inc.","Sundance Services, Inc.","EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
"SunEdison, LLC","SunEdison, LLC",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Sunland Park Racetrack & Casino,Sunland Park Racetrack & CASINO & GAMING,CASINO & GAMING
Sunovion Pharmaceuticals Inc.,Sunovion Pharmaceuticals Inc.,PHARMACEUTICALS
Sunray Park & Casino,Sunray Park & CASINO & GAMING,CASINO & GAMING
"Sunrun, Inc","Sunrun, Inc",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
"Superior Ambulance Service, Inc.","Superior Ambulance Service, Inc.",HEALTHCARE
Sustainable Energy & Economic Development (SEED) Coalition,Sustainable Energy & Economic Development (SEED) Coalition,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
"SWPPP Managers, LLC","SWPPP Managers, LLC",REAL ESTATE & CONSTRUCTION
T & R Market,T & R Market,RETAIL & CONSUMER RIGHTS
T & R Pawn LLC,T & R Pawn LLC,RETAIL & CONSUMER RIGHTS
"T & R Pawn, LLC",T & R Pawn LLC,RETAIL & CONSUMER RIGHTS
T & R Tax Service,T & R Tax Service,BANKING & FINANCE
Take Back Our Republic,Take Back Our Republic,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Takeda Pharmaceuticals America,Takeda Pharmaceuticals America,PHARMACEUTICALS
TanCorde Finance,TanCorde Finance ,BANKING & FINANCE
TanCorde Finance ,TanCorde Finance ,BANKING & FINANCE
Taos Ski Valley,Taos Ski Valley,TOURISM
"Targa Midstream Services, L.P.","Targa Midstream Services, L.P.","EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Targa Resources,Targa Resources,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Target Corporation,Target Corporation,RETAIL & CONSUMER RIGHTS
Teach for America ,Teach for America ,EDUCATION
"Tech11, LLC","Tech11, LLC",INFORMATION TECHNOLOGY
Technology Leadership Charter High School,Technology Leadership Charter High School,EDUCATION
TECO (NMGASco),TECO (NMGASco),"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Tenet Healthcare Corporation,Tenet HEALTHCARE Corporation,HEALTHCARE
"Tesla, Inc.","Tesla, Inc.",TRANSPORTATION
"Texas Road Recyclers, LLC","Texas Road Recyclers, LLC",WASTE MANAGEMENT
The Advocacy for Home and Hospice Care Services of New Mexico ,The Advocacy for Home and Hospice Care Services of New Mexico ,HEALTHCARE
The Alliance for Solar Choice ,The Alliance for Solar Choice ,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
The Arc of New Mexico,The Arc of New Mexico,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
The Ask Academy,The Ask Academy,EDUCATION
The Boeing Company,The Boeing Company,TRANSPORTATION
The College Board,The College Board,EDUCATION
The Committee for Responsible Health Care Regulat,The Committee for Responsible HEALTHCARE Care Regulators,HEALTHCARE
The Conservation Campaign,The Conservation Campaign,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
The Doctors Company,The Doctors Company,HEALTHCARE
The Downs at Albuquerque,The Downs at Albuquerque,CASINO & GAMING
The Emissary Group,The Emissary Group,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
"The Emissary Group, LLC",The Emissary Group,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
The Founding Fathers Forum,The Founding Fathers Forum,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
The Garland Company,The Garland Company,REAL ESTATE & CONSTRUCTION
"The Geo Group, Inc","The Geo Group, Inc",LAW ENFORCEMENT & CRIME
"The GEO Group, Inc.","The Geo Group, Inc",LAW ENFORCEMENT & CRIME
The Harris Corporation ,The Harris Corporation ,INFORMATION TECHNOLOGY
The Home Depot,The Home Depot,RETAIL & CONSUMER RIGHTS
The International School at Mesa del Sol ,The International School at Mesa del Sol ,EDUCATION
The Life Link,The Life Link,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
The Montessori Elementary Charter School,The Montessori Elementary Charter School,EDUCATION
The MVM Group,The MVM Group,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
The Nature Conservancy,The Nature Conservancy,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
The New America School (ABQ),The New America School (ABQ),EDUCATION
The New America School (Las Cruces),The New America School (Las Cruces),EDUCATION
The New Mexico Patient Safe Staffing Coalition,The New Mexico Patient Safe Staffing Coalition,HEALTHCARE
The NM Distillers Guild,New Mexico Distillers Guild,"ALCOHOL, CANNABIS, & TOBACCO"
The People of New Mexico,The People of New Mexico,OTHER
The Pew Charitable Trust,The Pew Charitable Trust,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
The Progressive Corporation ,The Progressive Corporation ,INSURANCE
The Scotts Miracle Gro Company ,The Scotts Miracle Gro Company ,RANCHING & AGRICULTURE
The Setter Group ,The Setter Group ,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
The Stranahan Firm,The Stranahan Firm,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
The Travel Technology Assoc.,The Travel Technology Assoc.,RETAIL & CONSUMER RIGHTS
The Trust for Public Land,The Trust for Public Land,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
The Verdes Foundation,The Verdes Foundation,"ALCOHOL, CANNABIS, & TOBACCO"
The Wilderness Society,The Wilderness Society,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Themac Resources Inc. New Mexico Copper ,Themac Resources Inc. New Mexico Copper ,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Think New Mexico,Think New Mexico,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
"Third Sector New England, Inc. dba Free Speech ","Third Sector New England, Inc. dba Free Speech ",CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Thomas J. Horan LTD.,Thomas J. Horan LTD.,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
"Thompson Consulting, LLC/ Phase One, LLC","Thompson Consulting, LLC/ Phase One, LLC","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
TIBH Industries Inc. ,TIBH Industries Inc. ,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Tierra Encantada Charter School,Tierra Encantada Charter School,EDUCATION
"TJM Creative Services, LLC","TJM Creative Services, LLC",RETAIL & CONSUMER RIGHTS
T-Mobile ,T-Mobile ,TELECOM
"T-Mobile USA, Inc",T-Mobile ,TELECOM
TOBAM S.A.S,TOBAM S.A.S,BANKING & FINANCE
Todd Leahy,Todd Leahy,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Tony Madrid ,Tony Madrid ,BANKING & FINANCE
Tony Trujillo & Associates Consulting Services,Tony Trujillo & Associates Consulting Services,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Torrance County,Torrance County,CITY & COUNTY GOVERNMENT
Total Wine & more,Total Wine & more,"ALCOHOL, CANNABIS, & TOBACCO"
Tourism Association of New Mexico,Tourism Association of New Mexico,TOURISM
Town of Atrisco Grant Board of Trustees,Town of Atrisco Grant Board of Trustees,CITY & COUNTY GOVERNMENT
Town of Cochiti Lake,Town of Cochiti Lake,CITY & COUNTY GOVERNMENT
Town of Red River,Town of Red River,CITY & COUNTY GOVERNMENT
Town of Taos,Town of Taos,CITY & COUNTY GOVERNMENT
Transform Education NM,Transform Education NM,EDUCATION
"Transit Consulting, LLC","Transit Consulting, LLC",TRANSPORTATION
"Transource Energy, LLC","Transource Energy, LLC",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Tres Amigas LLC,Tres Amigas LLC,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
TRG LLC,TRG LLC,HEALTHCARE
Tri State Generation & Transmission,Tri-State Generation & Transmission Association,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Tricore Laboratories ,Tricore Laboratories ,HEALTHCARE
TriCore Reference Laboratories,TriCore Reference Laboratories,HEALTHCARE
Tri-State Generation & Transmission Association,Tri-State Generation & Transmission Association,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Tri-State Generation and Transportation Assoc. ,Tri-State Generation & Transmission Association,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Trout Unlimited,Trout Unlimited,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
True Health Nm,True HEALTHCARE Nm,HEALTHCARE
Trujillo Enterprises,Trujillo Enterprises,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Tsay Corporation,Tsay Corporation,REAL ESTATE & CONSTRUCTION
TTX Company,TTX Company,TRANSPORTATION
Turney's,Turney's,RETAIL & CONSUMER RIGHTS
Turning Point,Turning Point,HEALTHCARE
Turo,Turo,TRANSPORTATION
Turquoise Trail Charter School,Turquoise Trail Charter School,EDUCATION
TW Telecom,TW Telecom of NM LLC ,TELECOM
TW Telecom of NM LLC,TW Telecom of NM LLC ,TELECOM
TW Telecom of NM LLC ,TW Telecom of NM LLC ,TELECOM
U.S. Justice Action Network,U.S. Justice Action Network,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
U.S. NAVY LEAGUE NEW MEXICO COUNCIL,U.S. NAVY LEAGUE NEW MEXICO COUNCIL,MILITARY  & VETERANS
Uber Technologies Inc,Uber Technologies Inc,TRANSPORTATION
Ultra Health,Ultra HEALTHCARE,HEALTHCARE
"Ultra Health, LLC",Ultra HEALTHCARE,HEALTHCARE
"Ultraviox, LLC","Ultraviox, LLC",WASTE MANAGEMENT
Union County ,Union County ,CITY & COUNTY GOVERNMENT
"Union for Justice, Inc.","Union for Justice, Inc.",CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Union of Concerned Scientists,Union of Concerned Scientists,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Union Pacific,Union Pacific Railroad,TRANSPORTATION
Union Pacific Railroad,Union Pacific Railroad,TRANSPORTATION
Unite Private Networks,Unite Private Networks,TELECOM
United Association of Plumbers & Steamfitters #412,United Association of Plumbers & Steamfitters #412,LABOR & WORKFORCE
United Blood Services,United Blood Services,HEALTHCARE
"United Healthcare Services, Inc.","United HEALTHCARE Services, Inc.",HEALTHCARE
United Insurance Company of America ,United Insurance Company of America ,INSURANCE
United States of Care,United States of Care,HEALTHCARE
"United Supermarkets, LLC","United Supermarkets, LLC",RETAIL & CONSUMER RIGHTS
United Way of Santa Fe County,United Way of Santa Fe County,"SENIOR, FAMILY & YOUTH ADVOCACY"
Universal Health Services,Universal HEALTHCARE Services,HEALTHCARE
Universal Medical Center,Universal Medical Center,HEALTHCARE
Universal Silica Solutions,Universal Silica Solutions,INDUSTRY
University of New Mexico,University of New Mexico,EDUCATION
University of New Mexico ,University of New Mexico,EDUCATION
University of Phoenix,University of Phoenix,EDUCATION
UNM Lobo Club,UNM Lobo Club,EDUCATION
UNM Retiree Association,UNM Retiree Association,"SENIOR, FAMILY & YOUTH ADVOCACY"
UPS,UPS,INDUSTRY
"Uranium Resources, Inc.","Uranium Resources, Inc.","EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
US Green Building Council NM Chapter,US Green Building Council NM Chapter,REAL ESTATE & CONSTRUCTION
USAA,USAA,INSURANCE
Valero Energy Corp,Valero Energy Corp,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Vapor Technology Association,Vapor Technology Association,"ALCOHOL, CANNABIS, & TOBACCO"
Vecinos United ,Vecinos United ,EDUCATION
Verde Realty,Verde Realty,REAL ESTATE & CONSTRUCTION
Verizon Communications,Verizon Corporation,TELECOM
Verizon Corporation,Verizon Corporation,TELECOM
Verizon Wireless,Verizon Corporation,TELECOM
"Vertex Pharmaceuticals, Inc. ","Vertex Pharmaceuticals, Inc. ",PHARMACEUTICALS
Viante New Mexico,Viante New Mexico,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
"Villa Santa Maria, Inc.","Villa Santa Maria, Inc.",CITY & COUNTY GOVERNMENT
Village of Chama,Village of Chama,CITY & COUNTY GOVERNMENT
Village of Corrales,Village of Corrales,CITY & COUNTY GOVERNMENT
Village of Cuba,Village of Cuba,CITY & COUNTY GOVERNMENT
Village of Logan ,Village of Logan ,CITY & COUNTY GOVERNMENT
Village of Los Lunas,Village of Los Lunas,CITY & COUNTY GOVERNMENT
Village of Pecos,Village of Pecos,CITY & COUNTY GOVERNMENT
Village of Questa,Village of Questa,CITY & COUNTY GOVERNMENT
Village of Tularosa ,Village of Tularosa ,CITY & COUNTY GOVERNMENT
Village of Wagon Mound ,Village of Wagon Mound ,CITY & COUNTY GOVERNMENT
"Vimo, Inc. d/b/a Getinsured.com","Vimo, Inc. d/b/a Getinsured.com",INSURANCE
"VIP Starnetwork, LLC","VIP Starnetwork, LLC",HEALTHCARE
Virgin Galactic,Virgin Galactic,TRANSPORTATION
"Virgin Galactic Holdings, Inc.",Virgin Galactic,TRANSPORTATION
"Virgin Galactic, LLC",Virgin Galactic,TRANSPORTATION
"Virtue & Najjar, PC","Virtue & Najjar, PC","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
"Virtue, Najjar and Brown, PC","Virtue & Najjar, PC","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Vista Disposal Casteel,Vista Disposal Casteel,WASTE MANAGEMENT
Vivant Solar,Vivant Solar,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Vivint Solar Developer LLC,Vivant Solar,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Vote Solar,Vote Solar,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Vote Solar Action Fund,Vote Solar Action Fund,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
"Vote Solar Ation Fund, a Project of Tides Advocacy",Vote Solar Action Fund,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Vulcan Materials Company,Vulcan Materials Company,REAL ESTATE & CONSTRUCTION
Waldale Manufacturing Ltd.,Waldale Manufacturing Ltd.,INDUSTRY
Walmart Inc.,Walmart Inc.,RETAIL & CONSUMER RIGHTS
"Wal-Mart Stores, Inc.",Walmart Inc.,RETAIL & CONSUMER RIGHTS
"Ward Alternative Energy, LLC","Ward Alternative Energy, LLC","EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
"Washington Group International, Energy & Environme","Washington Group International, Energy & Environment",REAL ESTATE & CONSTRUCTION
"Waste Connections, Inc.","Waste Connections, Inc.",WASTE MANAGEMENT
"Waste Control Specialist, Inc.","Waste Control Specialists, LLC",WASTE MANAGEMENT
"Waste Control Specialists, LLC","Waste Control Specialists, LLC",WASTE MANAGEMENT
"Waste Management of New Mexico, Inc.","Waste Management of New Mexico, Inc.",WASTE MANAGEMENT
"Waste Managment of New Mexico, Inc.","Waste Management of New Mexico, Inc.",WASTE MANAGEMENT
Waterford Research Institute LLC,Waterford Research Institute LLC,EDUCATION
Weaks Law LLC,Weaks Law LLC,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Wellcare Health Plans,Wellcare HEALTHCARE Plans,HEALTHCARE
Wells Fargo & Co.,Wells Fargo & Co.,BANKING & FINANCE
West Central Community Development Group (WCCDG),West Central Community Development Group (WCCDG),REAL ESTATE & CONSTRUCTION
WESTAF,Western States Arts Federation,ARTS & CULTURE
"Western Albuquerque Land Holdings, LLC","Western Albuquerque Land Holdings, LLC",REAL ESTATE & CONSTRUCTION
Western Environmental Law Center,Western Environmental Law Center,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Western Farmers Electric Cooperative,Western Farmers Electric Cooperative,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Western Governors University,Western Governors University,EDUCATION
Western Landowners Alliance,Western Landowners Alliance,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Western New Mexico University,Western New Mexico University,EDUCATION
Western Refining Inc.,Western Refining Inc.,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
"Western Refining, Inc.",Western Refining Inc.,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Western Resource Advocates,Western Resource Advocates,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Western Shamrock Corporation,Western Shamrock Corporation,BANKING & FINANCE
Western Sky Community Care,Western Sky Community Care,HEALTHCARE
Western Spirit Clean Line LLC,Western Spirit Clean Line LLC,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Western States Arts Federation,Western States Arts Federation,ARTS & CULTURE
"Western Water & Power Production, LLC","Western Water & Power Production, LLC",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Westmoreland Coal Company,Westmoreland Coal Company,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
WildEarth Guardians ,WildEarth Guardians ,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Wildlands Network,Wildlands Network,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
"William J. Brennan, Jr. Center for Justice, Inc.","William J. Brennan, Jr. Center for Justice, Inc.",CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Williams Company,Williams Company,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
"Williams Four Corners, LLC ","Williams Four Corners, LLC ","EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Windstream,Windstream Communications,TELECOM
Windstream Communications,Windstream Communications,TELECOM
Wine Institute,Wine Institute,"ALCOHOL, CANNABIS, & TOBACCO"
"Winrock Partners, LLC","Winrock Partners, LLC","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Wireless Infrastructure Association c/o MulitState Associates Inc. ,Wireless Infrastructure Association c/o MulitState Associates Inc. ,
"Wolf & Fox, P.C.","Wolf & Fox, P.C.","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Wolf PAC,Wolf PAC,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Workday,Workday,INFORMATION TECHNOLOGY
WPX Energy,WPX Energy,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
WR Communications Denver Company,WR Communications Denver Company,"MEDIA INFORMATION, COMMUNICATIONS, & PUBLISHING"
Xcel Energy/ Southwestern Public Service Co.,Xcel Energy/ Southwestern Public Service Co.,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
XCEL Energy-Southwestern Public Service,Xcel Energy/ Southwestern Public Service Co.,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
"Xerox Buisness Services, LLC ","Xerox Buisness Services, LLC ",INFORMATION TECHNOLOGY
Xerox Global Government Affairs,"Xerox Buisness Services, LLC ",INFORMATION TECHNOLOGY
Yates Petroleum Corporation,Yates Petroleum Corporation,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Yellow Bird Solar,Yellow Bird Solar,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
"Yellow-Checker Cab Company, Inc.","Yellow-Checker Cab Company, Inc.",TRANSPORTATION
Young Women United,Young Women United,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Youth Conservation Corps Commission,Youth Conservation Corps Commission,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
"Youth Development, Inc.","Youth Development, Inc.","SENIOR, FAMILY & YOUTH ADVOCACY"
"Z & T Cattle Company, LLC","Z & T Cattle Company, LLC",RANCHING & AGRICULTURE
"Zia Strategies, LLC ","Zia Strategies, LLC ","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Zuni Public School District,Zuni Public School District,EDUCATION
