Orig_empl,Employer,Interest2
BHP Billiton,BHP Billiton,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
BHP Navajo Coal Company,BHP Navajo Coal Company,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Big Brothers Big Sister of Northern NM,Big Brothers Big Sister of Northern NM,"SENIOR, FAMILY & YOUTH ADVOCACY"
"Big E, DBA Ellis Tanner Tading Co","Big E, DBA Ellis Tanner Tading Co",RETAIL & CONSUMER RIGHTS
BioDesign,BioDesign,"ALCOHOL, CANNABIS, & TOBACCO"
Biotechnology Innovation Organization,Biotechnology Innovation Organization,INDUSTRY
"Bird Rides, Inc.","Bird Rides, Inc.",TRANSPORTATION
Blackbird Logistics Corporation,Blackbird Logistics Corporation,TRANSPORTATION
"Blackboard, Inc.","Blackboard, Inc.",EDUCATION
"Blackbuck Resources, LLC","Blackbuck Resources, LLC",WATER RESOURCES
"Blake's Lotaburger, LLC","Blake's Lotaburger, LLC","RESTAURANT, FOOD & BEVERAGE "
Bloomfield irrigation District,Bloomfield Irrigation District,WATER RESOURCES
Blue Ski Distributors,Blue Sky Distributors,"ALCOHOL, CANNABIS, & TOBACCO"
Blue Sky Distributors,Blue Sky Distributors,"ALCOHOL, CANNABIS, & TOBACCO"
BlueInk Technologies Inc.,BlueInk Technologies Inc.,TRANSPORTATION
BNSF Railway Company,BNSF Railway Company,TRANSPORTATION
Board of County Commissioners Of Otero County ,Board of County Commissioners Of Otero County ,CITY & COUNTY GOVERNMENT
"Bob Cleavall Consulting, LLC","Bob Cleavall Consulting, LLC","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Bold Futures NM,Bold Futures NM,HEALTHCARE
"Border Area Mental Health Service, Inc.","Border Area Mental HEALTHCARE Service, Inc.",HEALTHCARE
Border Industrial Association,Border Industrial Association,ECONOMIC & SUSTAINABLE DEVELOPMENT
Bowlins,Bowlins,RETAIL & CONSUMER RIGHTS
BP America Production Company - US Lower 48 Onshore,BP America Production Company - US Lower 48 Onshore,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
"BP America, Inc.","BP America, Inc.","EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Bright Green Corporation,Bright Green Corporation,"ALCOHOL, CANNABIS, & TOBACCO"
"Bright Source Enegy, Inc.","Bright Source Enegy, Inc.",ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
Brinker International,Brinker International,"RESTAURANT, FOOD & BEVERAGE "
Bristol-Myers Squibb Company,Bristol-Myers Squibb Company,PHARMACEUTICALS
"Broad Spectrum Consulting, LLC. ","Broad Spectrum Consulting, LLC. ","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Broad Spectrum Government Affairs & Consulting,Broad Spectrum Government Affairs & Consulting,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Broaddus & Associates,Broaddus & Associates,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
"Broadway Pawn & Jewelry, Inc.","Broadway Pawn & Jewelry, Inc.",BANKING & FINANCE
Brownstein Hyatt Farber Schreck LLP,Brownstein Hyatt Farber Schreck LLP,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Brumfield & Burroughes LLC,Brumfield & Burroughes LLC,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Bryan Haynes and William McGowan,Bryan Haynes and William McGowan,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Builders Trust of New Mexico,Builders Trust of New Mexico,REAL ESTATE & CONSTRUCTION
Burlington Northern Santa Fe Railway Company,Burlington Northern Santa Fe Railway Company,TRANSPORTATION
"Burrell College of Osteopathic Medicine, LLC","Burrell College of Osteopathic Medicine, LLC",HEALTHCARE
Buzzsaw Strategies ,Buzzsaw Strategies ,REAL ESTATE & CONSTRUCTION
C.K. Disposal,C.K. Disposal,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
"Calibers Shooting Sports Centers, LLC","Calibers Shooting Sports Centers, LLC","FIREARMS, GUNS & AMMUNITION"
"Capital City Cab/Village Taxi, Inc.","Capital City Cab/Village Taxi, Inc.",TRANSPORTATION
Capitol Counsel & Consulting,Capitol Counsel & Consulting,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
"Caremark Rx, Inc.","Caremark Rx, Inc.",PHARMACEUTICALS
Carino De los Ninos Charter School,Carino De los Ninos Charter School,EDUCATION
Carlsbad Irrigation District,Carlsbad Irrigation District,WATER RESOURCES
Carpenters/Contractors Cooperation Committee,Carpenters/Contractors Cooperation Committee,REAL ESTATE & CONSTRUCTION
"Carr, Riggs & Ingran, LLC","Carr, Riggs & Ingran, LLC",BANKING & FINANCE
Casas de Buena Ventura Inc.,Casas de Buena Ventura Inc.,REAL ESTATE & CONSTRUCTION
"Castle Stawiarski, LLC","Castle Stawiarski, LLC","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Cathlic Coalition of New Mexico ,Cathlic Coalition of New Mexico ,RELIGIOUS ORGANIZATIONS
Caza Ranches LLC,Caza Ranches LLC,RANCHING & AGRICULTURE
Cebolleta Land Grant,Cebolleta Land Grant,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Celgene Corporation,Celgene Corporation,PHARMACEUTICALS
"Cellular Sales of New Mexico, LLC","Cellular Sales of New Mexico, LLC",TELECOM
Cemex Construction,Cemex Construction,REAL ESTATE & CONSTRUCTION
Centene Corporation,Centene Corporation,HEALTHCARE
"Centennial Resourse Production, LLC","Centennial Resourse Production, LLC","EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Center for Biological Diversity,Center for Biological Diversity,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Center for Civic Action,Center for Civic Action,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Center for Civic Policy,Center for Civic Policy,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Center for Civic Values,Center for Civic Values,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
Center for Responsible Lending,Center for Responsible Lending,BANKING & FINANCE
Central Consolidated School District,Central Consolidated School District,EDUCATION
Central New Mexico Audubon Society,Central New Mexico Audubon Society,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
Central New Mexico Community College,Central New Mexico Community College,EDUCATION
