Name of Candidate/Public Official/Ballot Issue,Name of Candidate/Public Official/Ballot Issue2,SponsorLink_join,
Bob Wooley ,Bob Wooley,Bob Wooley,
Bob Wooley Committee,Bob Wooley Committee,Bob Wooley,
Bob Wooley for Ruidoso Downs Racing,Bob Wooley for Ruidoso Downs Racing,Bob Wooley,
Bobby Wooley,Bobby Wooley,Bob Wooley,
Committee to Elect Bob Wooley,Committee to Elect Bob Wooley,Bob Wooley,
Committee to Re-elect Bob Wooley,Committee to Re-elect Bob Wooley,Bob Wooley,
CTE Bill Wooley,CTE Bill Wooley,Bob Wooley,
Friends of Bob Wooley(Ck from Union Pacific),Friends of Bob Wooley(Ck from Union Pacific),Bob Wooley,
Rep Bob Wooley  Duplicate to Dan Weaks,Rep Bob Wooley Duplicate to Dan Weaks,Bob Wooley,
Rep Bob Wooley  Duplicate to Marla Shoats,Rep Bob Wooley Duplicate to Marla Shoats,Bob Wooley,
Rep Bob Wooley~Duplicate to Dan Weaks,Rep Bob Wooley~Duplicate to Dan Weaks,Bob Wooley,
Rep Bob Wooley~Duplicate to Marla Shoats,Rep Bob Wooley~Duplicate to Marla Shoats,Bob Wooley,
Rep. Bob Wooley on behalf of Occidental,Rep. Bob Wooley on behalf of Occidental,Bob Wooley,
Rep. Bob Wooley,Rep. Bob Wooley,Bob Wooley,
"Rep, Brian Egolf","Rep, Brian Egolf",Brain Egolf,
Rep. Brian Efolf,Rep. Brian Efolf,Brian Efolf,
Rep. Brian Egoff,Rep. Brian Egoff,Brian Egoff,
Brian Egoff,Brian Egoff,Brian Egolf,
Brian Egoff Speakers Fund,Brian Egoff Speakers Fund,Brian Egolf,
Brian Egolf,Brian Egolf,Brian Egolf,
Brian Egolf ,Brian Egolf,Brian Egolf,
Brian Egolf (client),Brian Egolf (client),Brian Egolf,
Brian Egolf Committee,Brian Egolf Committee,Brian Egolf,
Brian Egolf Committee (State Rep.),Brian Egolf Committee (State Rep.),Brian Egolf,
Brian Egolf Committee (State Representative),Brian Egolf Committee (State Representative),Brian Egolf,
Brian Egolf Committtee,Brian Egolf Committtee,Brian Egolf,
Brian Egolf Democrat Speaker,Brian Egolf Democrat Speaker,Brian Egolf,
Brian Egolf for IPMI,Brian Egolf for IPMI,Brian Egolf,
Brian Egolf for NM House,Brian Egolf for NM House,Brian Egolf,
Brian Egolf for NM House ,Brian Egolf for NM House,Brian Egolf,
Brian Egolf for NM House of Representatives,Brian Egolf for NM House of Representatives,Brian Egolf,
Brian Egolf for Representative,Brian Egolf for Representative,Brian Egolf,
Brian Egolf for State Rep,Brian Egolf for State Rep,Brian Egolf,
Brian Egolf For State Representative ,Brian Egolf For State Representative,Brian Egolf,
Brian Egolf for tw telecom,Brian Egolf for tw telecom,Brian Egolf,
Brian Egolf Majority Leader Fund,Brian Egolf Majority Leader Fund,Brian Egolf,
Brian Egolf Re-Elect,Brian Egolf Re-Elect,Brian Egolf,
Brian Egolf Speaker Fund,Brian Egolf Speaker Fund,Brian Egolf,
Brian Egolf Speaker Fund ,Brian Egolf Speaker Fund,Brian Egolf,
Brian Egolf- Speaker Fund,Brian Egolf- Speaker Fund,Brian Egolf,
Brian Egolf Speaker Fund (House Democratic Caucus),Brian Egolf Speaker Fund (House Democratic Caucus),Brian Egolf,
Brian Egolf Speaker Fund (Legislative Caucus Cmte),Brian Egolf Speaker Fund (Legislative Caucus Cmte),Brian Egolf,
Brian Egolf Speaker Fund (Legislative Caucus),Brian Egolf Speaker Fund (Legislative Caucus),Brian Egolf,
Brian Egolf Speakers Fund,Brian Egolf Speakers Fund,Brian Egolf,
Brian Egolf Speaker's Fund,Brian Egolf Speaker's Fund,Brian Egolf,
"Brian Egolf, Jr. ","Brian Egolf, Jr.",Brian Egolf,
Brian Egolff,Brian Egolff,Brian Egolf,
Brian Egolf-Speakers Fund,Brian Egolf-Speakers Fund,Brian Egolf,
Brian Egolg,Brian Egolg,Brian Egolf,
"Brian F. Egolf, Jr. ","Brian F. Egolf, Jr.",Brian Egolf,
Campaign to Re-elect Brian Egolf,Campaign to Re-elect Brian Egolf,Brian Egolf,
Commitee to Elect Brian Egolf,Commitee to Elect Brian Egolf,Brian Egolf,
Committee To Elect Brain Egolf,Committee To Elect Brain Egolf,Brian Egolf,
Committee to Elect Brian Egold,Committee to Elect Brian Egold,Brian Egolf,
Committee to Elect Brian Egolf,Committee to Elect Brian Egolf,Brian Egolf,
Committee to Elect Brian Egolf (VNB) ,Committee to Elect Brian Egolf (VNB),Brian Egolf,
Committee to Elect Brian Egolf Jr,Committee to Elect Brian Egolf Jr,Brian Egolf,
Committee to Elect Brian Egolf Jr.,Committee to Elect Brian Egolf Jr.,Brian Egolf,
"Committee to Elect Brian Egolf, Jr","Committee to Elect Brian Egolf, Jr",Brian Egolf,
"Committee to Elect Brian Egolf, Jr.","Committee to Elect Brian Egolf, Jr.",Brian Egolf,
Committee to Elect Egolf,Committee to Elect Egolf,Brian Egolf,
Committee to Elect Representative Brian Egolf,Committee to Elect Representative Brian Egolf,Brian Egolf,
Committee to Re-elect Brian Egolf,Committee to Re-elect Brian Egolf,Brian Egolf,
"Committee to Re-Elect Brian Egolf, Jr.","Committee to Re-Elect Brian Egolf, Jr.",Brian Egolf,
Committee to Re-elect Speaker Egolf,Committee to Re-elect Speaker Egolf,Brian Egolf,
CTE Egolf Speaker Fund,CTE Egolf Speaker Fund,Brian Egolf,
CTE Egolf Speaker Fund ,CTE Egolf Speaker Fund,Brian Egolf,
CTE Rep. Brian Egolf ,CTE Rep. Brian Egolf,Brian Egolf,
CTE Rep. Brian F. Egolf,CTE Rep. Brian F. Egolf,Brian Egolf,
Egolf for State Rep,Egolf for State Rep,Brian Egolf,
Egolf Speaker Fund,Egolf Speaker Fund,Brian Egolf,
Egolf Speaker Fund ,Egolf Speaker Fund,Brian Egolf,
Egolf Speakerï¿½s Fund,Egolf Speakerï¿½s Fund,Brian Egolf,
Egolf Speaker's Fund,Egolf Speaker's Fund,Brian Egolf,
Elect Brian Egolf,Elect Brian Egolf,Brian Egolf,
Re-elect Brian Egolf,Re-elect Brian Egolf,Brian Egolf,
Re-elect Speaker Brian Egolf,Re-elect Speaker Brian Egolf,Brian Egolf,
Rep Brian Egolf,Rep Brian Egolf,Brian Egolf,
Speaker Brian Egold,Speaker Brian Egold,Brian Egolf,
Speaker Brian Egolf,Speaker Brian Egolf,Brian Egolf,
Speaker Brian Golf,Speaker Brian Golf,Brian Egolf,
Speaker Egolf Dinner,Speaker Egolf Dinner,Brian Egolf,
Speaker Egolf Fund,Speaker Egolf Fund,Brian Egolf,
Speaker Egolf's Fund,Speaker Egolf's Fund,Brian Egolf,
Speaker of the House - Representative  Brian Egolf,Speaker of the House - Representative Brian Egolf,Brian Egolf,
Speaker of the House Brian Egolf,Speaker of the House Brian Egolf,Brian Egolf,
Speaker's Fund Brian Egolf,Speaker's Fund Brian Egolf,Brian Egolf,
The Egolf Speaker's Fund,The Egolf Speaker's Fund,Brian Egolf,
Rep. Brian Egolf for Re-Elect,Rep. Brian Egolf for Re-Elect,Brian Egolf,
Representative Brian Egoff,Representative Brian Egoff,Brian Egolf,
 Representative Brian Egolf,Representative Brian Egolf,Brian Egolf,
Representative Brian Egolf,Representative Brian Egolf,Brian Egolf,
Representative Brian Egolf ,Representative Brian Egolf,Brian Egolf,
"Rep. Brian Egolf, Minority Leader Fund","Rep. Brian Egolf, Minority Leader Fund",Brian Egolf,
Rep. Brian Egolf,Rep. Brian Egolf,Brian Egolf,
Rep. Brian Golf,Rep. Brian Golf,Brian Egolf,
Rep. Egolf,Rep. Egolf,Brian Egolf,
CTE Rep Brian Egolf ( Duplicate to Dan Weaks),CTE Rep Brian Egolf ( Duplicate to Dan Weaks),Brian Egolf,
CTE Rep Brian Egolf ( Duplicate to Marla Shoats),CTE Rep Brian Egolf ( Duplicate to Marla Shoats),Brian Egolf,
Candace Gould,Candace Gould,Candace Gould,
Candace Gould ,Candace Gould,Candace Gould,
Candace Gould Campaign,Candace Gould Campaign,Candace Gould,
Candace Gould Committee,Candace Gould Committee,Candace Gould,
candace gould for senate,candace gould for senate,Candace Gould,
Candace Gould for State Representative,Candace Gould for State Representative,Candace Gould,
Candace Gould for State Senate,Candace Gould for State Senate,Candace Gould,
Candace Gould for State Senate ,Candace Gould for State Senate,Candace Gould,
Candace Gould for State Senator,Candace Gould for State Senator,Candace Gould,
Candace R. Gould,Candace R. Gould,Candace Gould,
Candace Ruth Gould,Candace Ruth Gould,Candace Gould,
Candance Gould,Candance Gould,Candace Gould,
Candance Ruth Gould,Candance Ruth Gould,Candace Gould,
Candice Gould,Candice Gould,Candace Gould,
Candice Gould for NM State Senate,Candice Gould for NM State Senate,Candace Gould,
Committee to Elect Candace Gould,Committee to Elect Candace Gould,Candace Gould,
Committee to Elect Candace Ruth Gould,Committee to Elect Candace Ruth Gould,Candace Gould,
Committee to Re-elect Candace Gould,Committee to Re-elect Candace Gould,Candace Gould,
CTE Candace Gould,CTE Candace Gould,Candace Gould,
CTE Sen. Candace Gould ,CTE Sen. Candace Gould,Candace Gould,
Elect Candace Gould,Elect Candace Gould,Candace Gould,
Re-elect Candice Gould,Re-elect Candice Gould,Candace Gould,
Sen. Candace Gould,Sen. Candace Gould,Candace Gould,
Senator Candace Gould,Senator Candace Gould,Candace Gould,
Senator Candace Gould ,Senator Candace Gould,Candace Gould,
Committee to Elect Candia Sweetser ,Committee to Elect Candia Sweetser,Candie G. Sweetser,
Committee to Elect Candie Sweetser,Committee to Elect Candie Sweetser,Candie G. Sweetser,
Committee to Elect Candy Sweetser,Committee to Elect Candy Sweetser,Candie G. Sweetser,
Candi Sweetser,Candi Sweetser,Candie G. Sweetser,
Candie G. Sweetser,Candie G. Sweetser,Candie G. Sweetser,
Candie Sleetser,Candie Sleetser,Candie G. Sweetser,
Candie Sweester,Candie Sweester,Candie G. Sweetser,
Candie Sweetser,Candie Sweetser,Candie G. Sweetser,
Candie Sweetser ,Candie Sweetser,Candie G. Sweetser,
Candie Sweetser Campaign,Candie Sweetser Campaign,Candie G. Sweetser,
Candie Sweetser for State Representative,Candie Sweetser for State Representative,Candie G. Sweetser,
Candie Sweetster,Candie Sweetster,Candie G. Sweetser,
Candie Sweetzer,Candie Sweetzer,Candie G. Sweetser,
Candy Sweetser,Candy Sweetser,Candie G. Sweetser,
Committee to Re-Elect Candy Spence Ezzell,Committee to Re-Elect Candy Spence Ezzell,Candie G. Sweetser,
CTE Rep.Candie Sweetser ,CTE Rep.Candie Sweetser,Candie G. Sweetser,
Rep. Candie Sweetser,Rep. Candie Sweetser,Candie G. Sweetser,
Representative Candie Sweetser,Representative Candie Sweetser,Candie G. Sweetser,
Representative Candy Sweetser,Representative Candy Sweetser,Candie G. Sweetser,
Rep. Candy Ezzell,Rep. Candy Ezzell,Candy Spence Ezzell,
Candace Ezzell,Candace Ezzell,Candy Spence Ezzell,
CANDANCE EZZELL,CANDANCE EZZELL,Candy Spence Ezzell,
Candy Essell,Candy Essell,Candy Spence Ezzell,
Candy Ezell,Candy Ezell,Candy Spence Ezzell,
Candy Ezzell,Candy Ezzell,Candy Spence Ezzell,
Candy Ezzell ,Candy Ezzell,Candy Spence Ezzell,
Candy Ezzell Campaign (RAI),Candy Ezzell Campaign (RAI),Candy Spence Ezzell,
Candy Ezzell for Representative,Candy Ezzell for Representative,Candy Spence Ezzell,
Candy S. Ezzell,Candy S. Ezzell,Candy Spence Ezzell,
Candy Spence Ezell,Candy Spence Ezell,Candy Spence Ezzell,
Candy Spence Ezell for State Representative,Candy Spence Ezell for State Representative,Candy Spence Ezzell,
Candy  Spence Ezzell,Candy Spence Ezzell,Candy Spence Ezzell,
Candy Spence Ezzell,Candy Spence Ezzell,Candy Spence Ezzell,
Candy Spence Ezzell ,Candy Spence Ezzell,Candy Spence Ezzell,
Candy Spence Ezzell for State Rep. District 58,Candy Spence Ezzell for State Rep. District 58,Candy Spence Ezzell,
Committee to Elect Candy Spence Ezzell,Committee to Elect Candy Spence Ezzell,Candy Spence Ezzell,
CTE Rep. Candy Ezzel ,CTE Rep. Candy Ezzel,Candy Spence Ezzell,
CTE Rep. Candy Spence Ezzel,CTE Rep. Candy Spence Ezzel,Candy Spence Ezzell,
CTE Rep.Candy Ezzel ,CTE Rep.Candy Ezzel,Candy Spence Ezzell,
"Ezzell for State Representative, Dist. 58","Ezzell for State Representative, Dist. 58",Candy Spence Ezzell,
"Ezzell, C","Ezzell, C",Candy Spence Ezzell,
Rep Candy Ezzel  Duplicate to Dan Weaks,Rep Candy Ezzel Duplicate to Dan Weaks,Candy Spence Ezzell,
Rep Candy Ezzel   Duplicate to Marla Shoats,Rep Candy Ezzel Duplicate to Marla Shoats,Candy Spence Ezzell,
Rep Candy Spence Ezzell~Duplicate to Dan Weaks,Rep Candy Spence Ezzell~Duplicate to Dan Weaks,Candy Spence Ezzell,
Rep Candy Spence Ezzell~Duplicate to Marla Shoats,Rep Candy Spence Ezzell~Duplicate to Marla Shoats,Candy Spence Ezzell,
Rep. Candy Spence Ezzell on behalf of Occidental,Rep. Candy Spence Ezzell on behalf of Occidental,Candy Spence Ezzell,
People to Elect Carl Trujillo (contrib. by CMTI),People to Elect Carl Trujillo (contrib. by CMTI),Carl Trujillo,
People to Elect Carl Trujillo (VNB) ,People to Elect Carl Trujillo (VNB),Carl Trujillo,
Carl Trujillo,Carl Trujillo,Carl Trujillo,
Carl Trujillo ,Carl Trujillo,Carl Trujillo,
Carl Trujillo (client),Carl Trujillo (client),Carl Trujillo,
Carl Trujillo (on behalf of Occidental),Carl Trujillo (on behalf of Occidental),Carl Trujillo,
Carl Trujillo Campaign,Carl Trujillo Campaign,Carl Trujillo,
Carl Trujillo Campaign For Change,Carl Trujillo Campaign For Change,Carl Trujillo,
Carl Trujillo Committee,Carl Trujillo Committee,Carl Trujillo,
Carl Trujillo Committee ,Carl Trujillo Committee,Carl Trujillo,
Carl Trujillo DBA People for Carl Trujillo,Carl Trujillo DBA People for Carl Trujillo,Carl Trujillo,
Carl Trujillo for NextEra,Carl Trujillo for NextEra,Carl Trujillo,
Carl Trujillo for NM House,Carl Trujillo for NM House,Carl Trujillo,
Carl Trujillo for Representative,Carl Trujillo for Representative,Carl Trujillo,
Carl Trujillo for Ruidoso Downs Racing,Carl Trujillo for Ruidoso Downs Racing,Carl Trujillo,
Carl Trujillo for tw telecom,Carl Trujillo for tw telecom,Carl Trujillo,
Carl Tujillo,Carl Tujillo,Carl Trujillo,
Committee to Elect Carl Trujillo,Committee to Elect Carl Trujillo,Carl Trujillo,
Committee to Re-Elect Carl Trujillo,Committee to Re-Elect Carl Trujillo,Carl Trujillo,
Committee to Re-Elect Carl Trujillo (Cash America),Committee to Re-Elect Carl Trujillo (Cash America),Carl Trujillo,
Committee to Re-Elect Carl Trujillo (MERCK) ,Committee to Re-Elect Carl Trujillo (MERCK),Carl Trujillo,
CTE Carl Trujillo,CTE Carl Trujillo,Carl Trujillo,
CTE Carl Trujillo (Dup to Dan Weaks),CTE Carl Trujillo (Dup to Dan Weaks),Carl Trujillo,
CTE Carl Trujillo (Dup to Marla Shoats),CTE Carl Trujillo (Dup to Marla Shoats),Carl Trujillo,
Re-Elect Carl Trujillo,Re-Elect Carl Trujillo,Carl Trujillo,
Rep Carl Trujillo,Rep Carl Trujillo,Carl Trujillo,
"Rep Carl Trujillo, House","Rep Carl Trujillo, House",Carl Trujillo,
People for Carl Trujillo Campaign Committee,People for Carl Trujillo Campaign Committee,Carl Trujillo,
People for Carl Trujillo,People for Carl Trujillo,Carl Trujillo,
People for Carl Trujillo ,People for Carl Trujillo,Carl Trujillo,
People for Carl Trujillo(Ck from Union Pacific),People for Carl Trujillo(Ck from Union Pacific),Carl Trujillo,
Rep. Carl Trujillo,Rep. Carl Trujillo,Carl Trujillo,
Rep. Carl Trujillo ,Rep. Carl Trujillo ,Carl Trujillo,
Comte to Reelect Sen Cisneros(Ck from Union Pacifi,Comte to Reelect Sen Cisneros(Ck from Union Pacifi,Carlos R. Cisneros,
Re-elect Senator Carlos Cisneros,Re-elect Senator Carlos Cisneros,Carlos R. Cisneros,
Carlos Ciscneros,Carlos Ciscneros,Carlos R. Cisneros,
Carlos Cisneros,Carlos Cisneros,Carlos R. Cisneros,
Carlos Cisneros ,Carlos Cisneros,Carlos R. Cisneros,
Carlos Cisneros Campaign Fund,Carlos Cisneros Campaign Fund,Carlos R. Cisneros,
Carlos Cisneros for State Senate,Carlos Cisneros for State Senate,Carlos R. Cisneros,
Carlos Cisneros Senate Re-Elect,Carlos Cisneros Senate Re-Elect,Carlos R. Cisneros,
Carlos R. Cisneros,Carlos R. Cisneros,Carlos R. Cisneros,
Committee ro Re-elect Carlos Cisneros,Committee ro Re-elect Carlos Cisneros,Carlos R. Cisneros,
Committee to Elect Carlos Cisneros,Committee to Elect Carlos Cisneros,Carlos R. Cisneros,
Committee to Elect Carlos Cisneros (VN),Committee to Elect Carlos Cisneros (VN),Carlos R. Cisneros,
Committee to Re-elect Carlos Cisneros,Committee to Re-elect Carlos Cisneros,Carlos R. Cisneros,
Committee to Re-Elect Carlos Cisneros (VNB) ,Committee to Re-Elect Carlos Cisneros (VNB),Carlos R. Cisneros,
Committee to Reelect Carlos R. Cisneros,Committee to Reelect Carlos R. Cisneros,Carlos R. Cisneros,
Committee to Re-Elect Carlos R. Cisneros,Committee to Re-Elect Carlos R. Cisneros,Carlos R. Cisneros,
Committee to Re-Elect Carolos R. Cisneros,Committee to Re-Elect Carolos R. Cisneros,Carlos R. Cisneros,
CTE Carlos Cisneros (Dup to Dan Weaks),CTE Carlos Cisneros (Dup to Dan Weaks),Carlos R. Cisneros,
CTE Carlos Cisneros (Dup to Marla Shoats),CTE Carlos Cisneros (Dup to Marla Shoats),Carlos R. Cisneros,
CTE Senator Carlos Cisneros,CTE Senator Carlos Cisneros,Carlos R. Cisneros,
CTE Senator Carlos R. Cisneros,CTE Senator Carlos R. Cisneros,Carlos R. Cisneros,
Sen Carlos Cisneros,Sen Carlos Cisneros,Carlos R. Cisneros,
Sen Carlos Cisneros  Duplicate to Dan Weaks,Sen Carlos Cisneros Duplicate to Dan Weaks,Carlos R. Cisneros,
Sen Carlos Cisneros Duplicate to Marla Shoats,Sen Carlos Cisneros Duplicate to Marla Shoats,Carlos R. Cisneros,
Sen. Carlos Cisneros,Sen. Carlos Cisneros,Carlos R. Cisneros,
Sen. Carlos Cisneros    (T-Mobile),Sen. Carlos Cisneros (T-Mobile),Carlos R. Cisneros,
Senator Carlos Cisneros,Senator Carlos Cisneros,Carlos R. Cisneros,
Senator Carlos Cisneros~Duplicate to Dan Weaks,Senator Carlos Cisneros~Duplicate to Dan Weaks,Carlos R. Cisneros,
Senator Carlos Cisneros~Duplicate to Marla Shoats,Senator Carlos Cisneros~Duplicate to Marla Shoats,Carlos R. Cisneros,
Carroll H. Leavel,Carroll H. Leavel,Carroll H. Leavell,
Carroll H. Leavell,Carroll H. Leavell,Carroll H. Leavell,
CARROLL LEAVELL,CARROLL LEAVELL,Carroll H. Leavell,
Carroll Leavell (Farmers Insurance),Carroll Leavell (Farmers Insurance),Carroll H. Leavell,
Carroll Leavell Campaign Fund,Carroll Leavell Campaign Fund,Carroll H. Leavell,
Carroll Leavell for NextEra,Carroll Leavell for NextEra,Carroll H. Leavell,
Carroll Leavell for Senator,Carroll Leavell for Senator,Carroll H. Leavell,
Carroll Levell (Client),Carroll Levell (Client),Carroll H. Leavell,
CTE Carroll Leavell (Dup to Dan Weaks),CTE Carroll Leavell (Dup to Dan Weaks),Carroll H. Leavell,
CTE Carroll Leavell (Dup to Marla Shoats),CTE Carroll Leavell (Dup to Marla Shoats),Carroll H. Leavell,
Sen Carroll Leavell Duplicate to Dan Weaks,Sen Carroll Leavell Duplicate to Dan Weaks,Carroll H. Leavell,
Sen Carroll Leavell  Duplicate to Marla Shoats,Sen Carroll Leavell Duplicate to Marla Shoats,Carroll H. Leavell,
Sen Leavell Carroll  Duplicate to Dan Weaks,Sen Leavell Carroll Duplicate to Dan Weaks,Carroll H. Leavell,
Sen Leavell Carroll  Duplicate to Marla Shoats,Sen Leavell Carroll Duplicate to Marla Shoats,Carroll H. Leavell,
Sen. Carroll Leavell,Sen. Carroll Leavell,Carroll H. Leavell,
Senator Caroll Leavell~Duplicate to Marla Shoats,Senator Caroll Leavell~Duplicate to Marla Shoats,Carroll H. Leavell,
Senator Carroll Leavell,Senator Carroll Leavell,Carroll H. Leavell,
Senator Carroll Leavell~Duplicate to Dan Weaks,Senator Carroll Leavell~Duplicate to Dan Weaks,Carroll H. Leavell,
Rep. Cathrynn Brown,Rep. Cathrynn Brown,Cathrynn N. Brown,
Campaign to Re-Elect Cathrynn Brown,Campaign to Re-Elect Cathrynn Brown,Cathrynn N. Brown,
Campaign to Re-Elect Cathrynn Brown (State Rep.),Campaign to Re-Elect Cathrynn Brown (State Rep.),Cathrynn N. Brown,
Catherine Brown,Catherine Brown,Cathrynn N. Brown,
Cathryn Brown,Cathryn Brown,Cathrynn N. Brown,
Cathryn Brown ,Cathryn Brown,Cathrynn N. Brown,
Cathrynn Anne Brown DBA Campaign to Re Elect Cathr,Cathrynn Anne Brown DBA Campaign to Re Elect Cathr,Cathrynn N. Brown,
Cathrynn Brown,Cathrynn Brown,Cathrynn N. Brown,
Cathrynn Brown ,Cathrynn Brown,Cathrynn N. Brown,
Cathrynn Brown (on behalf of Occidental),Cathrynn Brown (on behalf of Occidental),Cathrynn N. Brown,
Cathrynn Brown Campaign ,Cathrynn Brown Campaign,Cathrynn N. Brown,
Cathrynn Brown Campaign (RAI),Cathrynn Brown Campaign (RAI),Cathrynn N. Brown,
Cathrynn Brown for Representative,Cathrynn Brown for Representative,Cathrynn N. Brown,
Cathrynn Brown for Ruidoso Downs Racing,Cathrynn Brown for Ruidoso Downs Racing,Cathrynn N. Brown,
Cathrynn N. Brown,Cathrynn N. Brown,Cathrynn N. Brown,
Cathrynn N. Brown ,Cathrynn N. Brown,Cathrynn N. Brown,
Committee to Elect Cathrynn Brown,Committee to Elect Cathrynn Brown,Cathrynn N. Brown,
Committee to Re-elect Cathrynn Brown,Committee to Re-elect Cathrynn Brown,Cathrynn N. Brown,
Committee to Re-Elect Cathrynn Brown (State Rep.),Committee to Re-Elect Cathrynn Brown (State Rep.),Cathrynn N. Brown,
CTE Rep. Cathrynn Brown ,CTE Rep. Cathrynn Brown,Cathrynn N. Brown,
Rep Cathryn Brown  Duplicate to Dan Weak,Rep Cathryn Brown Duplicate to Dan Weak,Cathrynn N. Brown,
Rep Cathryn Brown  Duplicate to Marla Shoats,Rep Cathryn Brown Duplicate to Marla Shoats,Cathrynn N. Brown,
Rep Cathrynn Brown,Rep Cathrynn Brown,Cathrynn N. Brown,
Rep Cathrynn Brown~Duplicate to Dan Weaks,Rep Cathrynn Brown~Duplicate to Dan Weaks,Cathrynn N. Brown,
Rep Cathrynn Brown~Duplicate to Marla Shoats,Rep Cathrynn Brown~Duplicate to Marla Shoats,Cathrynn N. Brown,
Rep. Christine Chandler,Rep. Christine Chandler,Christine Chandler,
Christine Chandler,Christine Chandler,Christine Chandler,
Christine Chandler ,Christine Chandler,Christine Chandler,
Christine Chandler Committee,Christine Chandler Committee,Christine Chandler,
Committee to Re-elect Christine Chandler,Committee to Re-elect Christine Chandler,Christine Chandler,
